ISBN,avg_rating,rating_count,Book-Title,Book-Author,Year-Of-Publication,popularity_score
037316954X,10.0,1,"Commander's Little Surprise: Grooms in Uniform (Harlequin American Romance, No 954)",Mollie Molay,2003.0,10.0
037316968X,10.0,1,"High-Tide Bride (Harlequin American Romance, No 968)",Dianne Castell,2003.0,10.0
037319692X,10.0,1,"Most Eligible Doctor (Silhouette Romance, 1692)",Karen Rose Smith,2003.0,10.0
037321877X,6.0,2,Dangerous Affair,Jayne Ann Krentz,2004.0,12.0
037322608X,9.5,2,To Protect Their Child (Harlequin Intrigue 608),Sheryl Lynn,2001.0,19.0
037322771X,9.5,2,Just Before Dawn (Harlequin Intrigue Series),Joanna Wayne,2004.0,19.0
037324343X,10.0,1,"Texas Royalty (Special Edition, 1343)",Jean Brashear,2000.0,10.0
037325024X,8.0,9,Out of the Blue (Red Dress Ink (Paperback)),Isabel Wolff,2003.0,72.0
037325041X,8.5,2,The Solomon Sisters Wise Up (Red Dress Ink),Melissa Senate,2003.0,17.0
037325055X,4.0,4,Inappropriate Men (Red Dress Ink),Stacey Ballis,2004.0,16.0
037325668X,10.0,1,"Man Under The Mistletoe (Harlequin Temptation, No 568)",Debra Carroll,1995.0,10.0
037325928X,7.0,1,"Walk On The Wild Side (Harlequin Temptation, No 828)",Donna Kauffman,2001.0,7.0
037328019X,4.0,1,Forest Prime Evil,Alan Russell,0.0,4.0
037328926X,10.0,1,"My Lady'S Champion (Harlequin Historical, No 326)",Claire Delacroix,1996.0,10.0
037329011X,6.333333333333333,3,"Lion'S Lady (The Sutherland Series) (Historical , No 411)",Suzanne Barclay,1998.0,19.0
037329056X,6.5,2,"Tender Stranger (Harlequin Historical, No. 456)",Carolyn Davidson,1999.0,13.0
037329106X,6.0,2,"Virgin Spring (Historical, 506)",Debra Lee Brown,2000.0,12.0
037329221X,8.0,1,"A Perilous Attraction (Harlequin Historical, No. 621)",Patricia Frances Rowell,2002.0,8.0
037330174X,8.0,1,"Wellspring (Western Lovers, 26)",Curtiss Ann Matlock,1998.0,8.0
037344155X,10.0,1,Cindy and the Fella / Calling All Glass Slippers,Jacueline Diamond,2002.0,10.0
037348285X,8.0,1,Birds Bees And Babies 1994,Nora Roberts,1994.0,8.0
037348397X,8.666666666666666,3,The Donovan Legacy,Nora Roberts,1999.0,26.0
037361490X,5.0,1,Age of War  (Super Bolan #90),Don Pendleton,2003.0,5.0
037364292X,7.0,1,Savage Game  (Executioner #292),Don Pendleton,2003.0,7.0
037365054X,10.0,1,"Rich , Rugged...Ruthless (Montana Mavericks)",Jennifer Mikels,2001.0,10.0
037370643X,7.0,1,"Every Move You Make (4 Strong Men) (Harlequin Superromance, No 643)",Bobby Hutchinson,1995.0,7.0
037370707X,7.0,2,"Texas Standoff  (Home On The Ranch) (Harlequin Superromance, No 707)",Tom Smith,1996.0,14.0
037370822X,7.0,1,"Maine Man  (By The Year 2000: Marriage) (Harlequin Superromance, 822)",Ellen James,1999.0,7.0
037370870X,8.0,1,"Dream Baby (By The Year 2000: Baby) (Harlequin Superromance, No. 870)",Ann Evans,1999.0,8.0
037370920X,6.5,2,"And Baby Makes Six (9 Months Later) (Superrromance, 920)",Linda Markowiak,2000.0,13.0
037371047X,9.0,1,"BABES IN ARMS - FOUR SEASONS IN FIREFLY GLEN (Harlequin Superromance, No. 1047)",Kathleen O'Brien,2002.0,9.0
037379116x,8.0,1,"Anything Goes (Harlequin Blaze, 112)",Debbi Rawlins,2003.0,8.0
037382503X,6.5,4,"Tyler #3 Wisconsin Wedding (Tyler, No 3)",Carla Neggers,1992.0,26.0
037383232X,9.0,1,Sweet Promise,Janet Dailey,1991.0,9.0
037383599X,9.0,2,Simply Sensual (Harlequin Single Title),Carly Phillips,2004.0,18.0
037540256X,7.666666666666667,6,A Patchwork Planet,Anne Tyler,1998.0,46.0
037540273X,7.5,2,Beloved : Gift Edition,TONI MORRISON,1998.0,15.0
037540290X,6.0,1,A Widow for One Year,John Irving,1998.0,6.0
037540600X,8.0,2,Horse Heaven,Jane Smiley,2000.0,16.0
037541178X,7.0,2,While I Was Gone,SUE MILLER,2000.0,14.0
037541181X,7.0,1,A Venetian Affair,ANDREA DI ROBILANT,2003.0,7.0
037541200X,7.0,4,Blood Canticle (The Vampire Chronicles),ANNE RICE,2003.0,28.0
037541309X,7.866666666666666,15,Balzac and the Little Chinese Seamstress,Dai Sijie,2001.0,118.0
037541388X,7.333333333333333,3,Her,LAURA ZIGMAN,2002.0,22.0
037542055X,9.0,1,"They Went Whistling : Women Wayfarers, Warriors, Runaways, and Renegades",Barbara Holland,2001.0,9.0
037542217X,8.875,8,The Kalahari Typing School for Men : More from the No. 1 Ladies' Detective Agency,Alexander McCall Smith,2003.0,71.0
037550155X,7.0,1,The Handyman,Carolyn See,1999.0,7.0
037550298X,9.5,2,Geeks: How Two Lost Boys Rode the Internet Out of Idaho,Jon Katz,2000.0,19.0
037550723X,9.0,1,Orchard : A Novel,LARRY WATSON,2003.0,9.0
037570177X,8.0,1,Day of the Bees (Vintage Contemporaries (Paperback)),Thomas Sanchez,2001.0,8.0
037570342X,8.0,1,Family Matters,ROHINTON MISTRY,2003.0,8.0
037570387X,10.0,1,The Autograph Man: A Novel (Vintage International (Paperback)),Zadie Smith,2003.0,10.0
037570485X,7.875,8,The Inn at Lake Devine,Elinor Lipman,1999.0,63.0
037570504X,7.0,15,"Breath, Eyes, Memory",Edwidge Danticat,1998.0,105.0
037570745X,7.333333333333333,6,In the Fall (Vintage Contemporaries (Paperback)),Jeffrey Lent,2001.0,44.0
037570910X,8.166666666666666,6,The Feast of Love (Vintage Contemporaries (Paperback)),Charles Baxter,2001.0,49.0
037570924X,7.857142857142857,7,An Equal Music,Vikram Seth,2000.0,55.0
037575895X,7.0,1,Cicero: The Life and Times of Rome's Greatest Politician,Anthony Everitt,2003.0,7.0
037576013X,9.0,1,Daniel Deronda (Modern Library Classics),George Eliot,2002.0,9.0
037576092X,8.6,5,Autobiography of a Fat Bride : True Tales of a Pretend Adulthood,LAURIE NOTARO,2003.0,43.0
037581177X,10.0,2,Anne Frank in the World,Anne Frank House,2001.0,20.0
037582233X,8.166666666666666,6,Stargirl,JERRY SPINELLI,2002.0,49.0
037582345X,9.666666666666666,3,"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN,2002.0,29.0
037602237X,9.0,1,Easy Basics for Good Cooking,Sunset Books,1987.0,9.0
038000741x,8.0,1,Monkey Wrench Gang,Edward Abbey,1976.0,8.0
038000772X,6.0,2,I'm Ok-You're Ok,Thomas Harris,2004.0,12.0
038000917X,8.0,9,Rebecca,Daphne du Maurier,1982.0,72.0
038001503X,8.375,8,One Hundred Years of Solitude,Gabriel Garcia Marquez,1970.0,67.0
038039586X,9.2,5,Watership Down,Richard George Adams,1975.0,46.0
038059949X,8.0,1,Somebody Else's Kids,Torey Hayden,1982.0,8.0
038070613X,8.8,5,Taliesin : Book One of the Pendragon Cycle (Pendragon Cycle),Stephen R. Lawhead,1990.0,44.0
038070952X,9.666666666666666,3,Ramona and Her Mother (Ramona Quimby (Paperback)),Beverly Cleary,1990.0,29.0
038071504X,5.0,1,Stars  Co,Kathryn Harvey,1993.0,5.0
038071681X,7.0,1,Ghost Girl: The True Story of a Child in Peril and the Teacher Who Saved Her,Torey Hayden,1992.0,7.0
038071843X,8.0,1,Breach of Duty: A J.P. Beaumont Mystery,J.A. Jance,1999.0,8.0
038071907X,7.5,2,Nothing But The Truth: A Documentary Novel,Avi,1993.0,15.0
038072099X,7.0,1,The Immortals,Michael Korda,1993.0,7.0
038072118X,7.2,5,Where is Joe Merchant?,Jimmy Buffett,1993.0,36.0
038072121X,8.6,5,In the Electric Mist with Confederate Dead,James L. Burke,1994.0,43.0
038072152X,8.0,4,"Hello Darling, Are You Working?",Rupert Everett,1998.0,32.0
038072331X,8.0,1,Angels : True Stories of How They Touch Our Lives,Hope Price,1994.0,8.0
038072345X,6.666666666666667,3,Anno Dracula,Kim Newman,1994.0,20.0
038072362X,7.666666666666667,3,A Superior Death,Nevada Barr,2002.0,23.0
038072541X,7.666666666666667,3,Hit Man,Lawrence Block,1999.0,23.0
038072751X,7.25,4,The Legend of Bagger Vance : A Novel of Golf and the Game of Life,Steven Pressfield,1999.0,29.0
038072880X,7.5,4,High Crimes,Joseph Finder,2002.0,30.0
038072913X,7.333333333333333,3,The Maze (Avon Camelot Books (Paperback)),Will Hobbs,1999.0,22.0
038072930X,8.0,1,Turbulent Souls: : A Catholic Son's Return To His Jewish Family,Stephen J. Dubner,1999.0,8.0
038072975X,6.333333333333333,6,Midnight Champagne : A Novel (Mysteries &amp; Horror),A. Manette Ansay,2000.0,38.0
038073186X,7.75,4,Shutter Island,Dennis Lehane,2004.0,31.0
038073320X,8.333333333333334,3,The Gazebo: A Novel,Emily Grayson,2000.0,25.0
038075567X,6.0,1,Unicorn and Dragon (Unicorn &amp; Dragon),Lynn Abbey,1988.0,6.0
038075620X,7.0,1,Night Fire,Catherine Coulter,1989.0,7.0
038075911X,10.0,2,The Black Lyon,Jude Deveraux,1980.0,20.0
038075942X,10.0,1,Dream Fever,Katherine Sutcliffe,1991.0,10.0
038076041X,8.5,2,A Kid's Guide to How to Save the Planet (Camelot world),Billy Goodman,1990.0,17.0
038076654X,8.0,2,Petals on the River,Kathleen E. Woodiwiss,1997.0,16.0
038076735X,7.0,1,Lady Legend,Deborah Camp,1992.0,7.0
038077013X,10.0,1,Then Came You,Lisa Kleypas,1993.0,10.0
038077030X,2.0,1,Miss Zukas and the Library Murders (Miss Zukas Mysteries),Jo Dereske,1994.0,2.0
038077139X,8.0,1,Secrets,Brenda Joyce,1993.0,8.0
038077514X,6.0,1,"Murder and Spies, Lovers and Lies: Settling the Great Controversies of American History",Marc Mappen,1996.0,6.0
038078047X,7.0,1,"20,001 Names for Baby",Carol McD. Wallace,1995.0,7.0
038078243X,8.0,1,Miss Zukas and the Raven's Dance,Jo Dereske,1996.0,8.0
038078520X,6.0,3,Wed and Buried (Bed-And-Breakfast Mysteries (Paperback)),Mary Daheim,1998.0,18.0
038078615X,7.0,1,Married at Midnight an Anthology: The Determined Bride/A Kiss After Midnight/Scandal's Bride/Beyond the Kiss,Kathleen E. Woodiwiss,1996.0,7.0
038079294X,7.0,3,A Signal Shattered,Eric S. Nylund,2000.0,21.0
038079439X,8.142857142857142,7,Expendable,James Alan Gardner,1999.0,57.0
038079487X,7.666666666666667,27,What Looks Like Crazy On An Ordinary Day,Pearl Cleage,1998.0,207.0
038079537X,6.0,1,To the Summit (An Avon Flare Book),Claire Rudolf Murphy,1998.0,6.0
038079828X,7.0,3,Petals on the River (Avon Historical Romance),Kathleen E. Woodiwiss,1998.0,21.0
038079960X,8.0,2,The Mermaids Singing,Lisa Carey,1999.0,16.0
038080025X,6.0,1,All I Desire,Rosemary Rogers,1999.0,6.0
038080722X,8.0,2,April Fool Dead : A Death on Demand Mystery (Death on Demand Mysteries (Paperback)),Carolyn Hart,2003.0,16.0
038081014X,7.0,1,The Last Good Man,Kathleen Eagle,2001.0,7.0
038081093X,8.5,4,Excavation,James Rollins,2000.0,34.0
038081479X,9.0,1,Heart of a Warrior,Johanna Lindsey,2002.0,9.0
038081563X,5.666666666666667,3,Silver Scream : A Bed-and-Breakfast Mystery (Bed-And-Breakfast Mysteries (Paperback)),Mary Daheim,2003.0,17.0
038081658X,8.5,4,The Fresco,Sheri S. Tepper,2002.0,34.0
038081840X,5.0,1,Year's Best Fantasy (Year's Best Fantasy),David G. Hartwell,2001.0,5.0
038081918X,8.0,3,Getting Lucky (Avon Light Contemporary Romances),Susan Andersen,2003.0,24.0
038082079X,8.0,1,"Affair to Remember, An",Karen Hawkins,2002.0,8.0
038082082X,9.0,1,The Rake: Lessons in Love,Suzanne Enoch,2002.0,9.0
038082101X,8.11111111111111,18,Daughter of Fortune: A Novel,Isabel Allende,2001.0,146.0
038089887X,7.0,1,Foreign Affairs-Op/20,Alison Lurie,1985.0,7.0
038097729X,8.0,4,Paradise Lost: A Novel of Suspense,J.A. Jance,2001.0,32.0
038097827X,8.0,2,The Wolves in the Walls,Neil Gaiman,2003.0,16.0
038508854X,8.0,1,Astronomy Made Simple (Made Simple Books (Doubleday)),Meir Degani,1976.0,8.0
038513097x,7.0,1,Mary Frampton and friends rock and roll recipes,Mary Frampton,1980.0,7.0
038517652X,7.0,1,The Normandie Affair,Elizabeth Villars,1982.0,7.0
038529929X,7.785714285714286,14,Hannibal,Thomas Harris,1999.0,109.0
038531177X,8.5,2,Rain of Gold,VÃ­ctor E. VillaseÃ±or,1992.0,17.0
038531258X,8.0,9,Cold Sassy Tree,Olive Ann Burns,1986.0,72.0
038531292X,7.875,8,The Gift,Danielle Steel,1994.0,63.0
038531700X,8.0,6,The Loop: A Novel,Nicholas Evans,1998.0,48.0
038532748X,5.0,1,Night Flying,Rita Murphy,2000.0,5.0
038533303X,6.8,10,Driving Mr. Albert: A Trip Across America With Einstein's Brain,Michael Paterniti,2001.0,68.0
038533334X,7.05,20,Charming Billy,Alice McDermott,1999.0,141.0
038533348X,8.857142857142858,7,Cat's Cradle,Kurt Vonnegut,1998.0,62.0
038533396X,9.0,2,How I Accidentally Joined the Vast Right-Wing Conspiracy: (And Found Inner Peace),Harry Stein,2000.0,18.0
038533446X,7.0,1,Lost Girls,Andrew Pyper,2000.0,7.0
038533494X,5.0,1,Sometimes I Dream in Italian,Rita Ciresi,2001.0,5.0
038533558X,9.0,13,Gone For Good,HARLAN COBEN,2002.0,117.0
038533656X,6.3,10,Apocalipstick,SUE MARGOLIS,2003.0,63.0
038542017X,8.08695652173913,23,"Like Water for Chocolate : A Novel in Monthly Installments with Recipes, Romances, and Home Remedies",LAURA ESQUIVEL,1995.0,186.0
038542471X,8.0,14,The Client,John Grisham,1993.0,112.0
038548237X,8.666666666666666,3,The Mistress of Spices,Chitra Banerjee Divakaruni,1997.0,26.0
038548562X,2.0,2,How to Choose the Sex of Your Baby: The Method Best Supported by Scientific Evidence,"Landrum B., Md Shettles",1997.0,4.0
038548951X,8.944444444444445,18,Sister of My Heart,Chitra Banerjee Divakaruni,2000.0,161.0
038549081X,8.19047619047619,21,The Handmaid's Tale : A Novel,Margaret Atwood,1998.0,172.0
038549565X,8.0,1,Ghost Soldiers: The Epic Account of World War II's Greatest Rescue Mission,HAMPTON SIDES,2002.0,8.0
038549727X,9.0,1,The Unknown Errors of Our Lives: Stories,Chitra Banerjee Divakaruni,2001.0,9.0
038549730X,7.75,4,The Vine of Desire: A Novel,Chitra Banerjee Divakaruni,2003.0,31.0
038549744X,8.666666666666666,3,English Passengers,Matthew Kneale,2001.0,26.0
038549825X,8.0,2,Not a Day Goes By : A Novel,E. LYNN HARRIS,2001.0,16.0
038549842X,8.0,1,Remembering Blue,Connie May Fowler,2000.0,8.0
038550084X,6.666666666666667,3,Fraud,DAVID RAKOFF,2001.0,20.0
038550098X,8.0,1,Last of the Amazons : A Novel,STEVEN PRESSFIELD,2002.0,8.0
038550117X,7.666666666666667,3,Disobedience,Jane Hamilton,2000.0,23.0
038550120X,8.0,24,A Painted House,JOHN GRISHAM,2001.0,192.0
038550926X,6.9,20,The Devil Wears Prada : A Novel,LAUREN WEISBERGER,2003.0,138.0
038550943X,9.0,1,Going to Bend : A Novel,DIANE HAMMOND,2004.0,9.0
038572179X,7.25,20,Atonement : A Novel,IAN MCEWAN,2003.0,145.0
039300158X,5.0,1,Letters to a Young Poet,Rainer Maria Rilke,1981.0,5.0
039303853X,5.0,1,Ship Fever and Other Stories,Andrea Barrett,1996.0,5.0
039304016X,7.7,10,The Perfect Storm: A True Story of Men Against the Sea,Sebastian Junger,1997.0,77.0
039304632X,6.333333333333333,3,The Voyage of the Narwhal,Andrea Barrett,1998.0,19.0
039305747X,8.0,2,Crescent: A Novel,Diana Abu-Jaber,2003.0,16.0
039308700X,9.0,2,Helter Skelter: The True Story of the Manson Murders,Vincent Bugliosi,1994.0,18.0
039309412X,10.0,1,Moll Flanders (Norton Critical Editions Series),Daniel Defoe,1974.0,10.0
039331393X,9.0,1,No Ordinary Genius: The Illustrated Richard Feynman,Richard Phillips Feynman,1995.0,9.0
039396647X,10.0,2,"War and Peace: The Maude Translation, Backgrounds and Sources, Criticism (Norton Critical Editions)",Leo Tolstoy,1996.0,20.0
039397281X,10.0,1,"Don Quijote: A New Translation, Backgrounds and Contexts, Criticism (Norton Critical Edition)",Miguel De Cervantes,1999.0,10.0
039454272X,7.0,1,Flaubert's Parrot,Julian Barnes,1985.0,7.0
039456894X,8.0,1,Impossible Vacation,Spalding Gray,1992.0,8.0
039457513X,5.0,1,Billy Bathgate,E. L. Doctorow,1989.0,5.0
039458872X,6.0,2,Secrets of the Flesh: A Life of Colette,Judith Thurman,1999.0,12.0
039470780X,9.0,1,Victory Garden Cookbook,Marian Morash,1982.0,9.0
039480001X,9.142857142857142,14,The Cat in the Hat,Dr. Seuss,1957.0,128.0
039480029X,9.285714285714286,7,Hop on Pop (I Can Read It All by Myself Beginner Books),Dr. Seuss,1963.0,65.0
039480967X,6.5,4,Bears on Wheels (Bright &amp; Early Books),STAN BERENSTAIN,1969.0,26.0
039515023X,8.0,1,Curious George (Sandpiper Books),H. A. Rey,1973.0,8.0
039531870X,10.0,1,Field Guide to Edible Wild Plants: Eastern and Central North America (Peterson Field Guides (Paperback)),Lee Peterson,1982.0,10.0
039571091X,7.0,1,Dakota: A Spiritual Geography,Kathleen Norris,1993.0,7.0
039575514X,8.8,5,My Antonia,Willa Cather,1995.0,44.0
039592684X,8.0,2,"The Best American Short Stories 1999 (Best American Short Stories, 1999)",Amy Tan,1999.0,16.0
039592720X,8.10344827586207,29,Interpreter of Maladies,Jhumpa Lahiri,1999.0,235.0
039595777X,7.0,1,Love Poems,Anne Sexton,1999.0,7.0
039597707X,7.5,2,3  Bowls : Vegetarian Recipes from an American Zen Buddhist Monastery,Seppo Ed Farrey,2000.0,15.0
039607412X,10.0,1,Masterpieces of murder,Agatha Christie,1977.0,10.0
039911565X,5.0,1,Amphigorey Too,Edward St. John. Gorey,1975.0,5.0
039913087X,8.0,1,On the Road With Charles Kuralt,Charles Kuralt,1985.0,8.0
039913929X,5.0,1,Brothers and Sisters,Bebe Moore Campbell,1994.0,5.0
039914210X,7.6,5,The Cat Who Tailed a Thief,Lilian Jackson Braun,1997.0,38.0
039914255X,7.75,4,Eat Right for Your Type,Peter J. D'Adamo,1996.0,31.0
039914370X,7.0,1,Sudden Mischief (Spenser Mysteries (Hardcover)),Robert B. Parker,1998.0,7.0
039914417X,7.0,1,The Girl in the Photograph,Gabrielle Donnelly,1998.0,7.0
039914465X,6.3076923076923075,13,Southern Cross,Patricia Daniels Cornwell,1999.0,82.0
039914563X,7.714285714285714,7,The Bear and the Dragon,Tom Clancy,2000.0,54.0
039914613X,7.3,10,Easy Prey,John Sandford,2000.0,73.0
039914630X,9.0,1,Saving Elijah,Fran Dorf,2000.0,9.0
039914675X,7.4,10,The Cat Who Went up the Creek,Lilian Jackson Braun,2002.0,74.0
039914739X,5.375,8,Isle of Dogs,Patricia Daniels Cornwell,2001.0,43.0
039914787X,7.166666666666667,6,Valhalla Rising (Dirk Pitt Adventures (Hardcover)),Clive Cussler,2001.0,43.0
039914840X,8.714285714285714,7,Three Fates,Nora Roberts,2002.0,60.99999999999999
039915034X,10.0,1,Star Witness,Dudley W. Buffa,2003.0,10.0
039915079X,6.9,10,The Teeth of the Tiger,Tom Clancy,2003.0,69.0
039915180X,9.0,4,Hidden Prey,John Sandford,2004.0,36.0
039922405X,9.0,1,Christina Katerina and the Time She Quit the Family,Patricia Lee Gauch,1992.0,9.0
039923392X,7.5,2,You Are My I Love You,Maryann K. Cusimano,2001.0,15.0
039951743X,8.0,2,The Pocket Dictionary of Signing,Rod R. Butterworth,1992.0,16.0
042506803X,8.333333333333334,3,Taken at the Flood (Hercule Poirot Mysteries (Paperback)),Agatha Christie,2004.0,25.0
042507160X,8.25,4,Dune (Dune Chronicles (Berkley Paperback)),Frank Herbert,1984.0,33.0
042507272X,7.0,1,"God Emperor of Dune (Dune Chronicles, Book 4)",Frank Herbert,1984.0,7.0
042507448X,10.0,1,Gods of Riverworld 5 (Riverworld Saga),Philip Jose Farmer,1985.0,10.0
042509345X,8.5,2,"Robot Dreams (Masterworks of Science Fiction and Fantasy, No 5)",Isaac Asimov,1986.0,17.0
042509474X,10.0,1,Inside the Aquarium: The Making of a Top Soviet Spy,Viktor Suvorov,1987.0,10.0
042509961X,8.0,1,Lord Edgware Dies,Agatha Christie,1994.0,8.0
042510107X,7.538461538461538,13,Red Storm Rising,Tom Clancy,1997.0,98.0
042510429X,10.0,1,The Third Deadly Sin,Lawrence Sanders,2001.0,10.0
042510687X,7.181818181818182,11,Outbreak,Robin Cook,1991.0,79.0
042511306X,9.0,2,The Sea King's Daughter,Barbara Michaels,1988.0,18.0
042511774X,7.583333333333333,12,Breathing Lessons,Anne Tyler,1994.0,91.0
042511984X,7.875,8,The Face of Fear,Dean R. Koontz,1996.0,63.0
042512164X,7.0,2,Capital Crimes,Lawrence Sanders,2000.0,14.0
042512519X,7.5,2,The Second Deadly Sin,Lawrence Sanders,1994.0,15.0
042512830X,5.0,1,I Helped Save the Earth: 55 Fun Ways Kids Can Make a World of Difference,Michael O'Brian,1991.0,5.0
042512892X,6.5,2,Into the Darkness,Barbara Michaels,1996.0,13.0
042513024X,8.333333333333334,3,The A.B.C. Murders,Agatha Christie,1993.0,25.0
042513301X,6.666666666666667,3,A Cold Day for Murder,Dana Stabenow,1992.0,20.0
042513525X,7.111111111111111,18,Hideaway,Dean R. Koontz,1992.0,128.0
042513699X,7.153846153846154,13,Turtle Moon,Alice Hoffman,1993.0,93.0
042514545X,6.4,5,Fool's Puzzle,Earlene Fowler,1995.0,32.0
042514755X,6.714285714285714,7,McNally's Trial (Archy McNally Novels (Paperback)),Lawrence Sanders,1995.0,47.0
042515405X,4.5,2,Rosemary Remembered,Susan Wittig Albert,1996.0,9.0
042515517X,7.0,1,Year of the Tiger,Jack Higgins,1996.0,7.0
042515601X,7.25,8,Acts of War (Tom Clancy's Op Center (Paperback)),Tom Clancy,1997.0,58.0
042516019X,8.5,2,Masquerade,Gayle Lynds,1997.0,17.0
042516098X,6.7272727272727275,22,Hornet's Nest,Patricia Daniels Cornwell,1998.0,148.0
042516540X,8.0,1,The Cat Who... Companion,Sharon A. Feaster,1998.0,8.0
042516828X,8.6,5,Sudden Mischief,Robert B. Parker,1999.0,43.0
042516876X,8.0,6,Range of Motion,Elizabeth Berg,2000.0,48.0
042516988X,9.0,2,Stray Kat Waltz (Kat Colorado Mysteries),Karen Kijewski,1999.0,18.0
042517140X,10.0,1,Loyalty in Death,J. D. Robb,2004.0,10.0
042517350X,5.0,1,The World Is Not Enough: A Novel,Raymond Benson,1999.0,5.0
042517364X,7.5,2,Clearwater,Bill Buchanan,2000.0,15.0
042517476X,7.5,2,Group: Six People in Search of a Life,Paul Solotaroff,2000.0,15.0
042517736X,7.1,10,Abduction,Robin Cook,2000.0,71.0
